YEAR	JURISDICTION	LOCATION	AGE_GROUP	METRIC	DETECTION_METHOD	FINES
2023	VIC	Inner Regional Australia	0-16	mobile_phone_use	Police issued	1
2023	VIC	Major Cities of Australia	0-16	mobile_phone_use	Police issued	1
2023	VIC	Inner Regional Australia	0-16	mobile_phone_use	Police issued	1
2023	ACT	Major Cities of Australia	0-16	mobile_phone_use	Police issued	1
2023	VIC	Major Cities of Australia	0-16	mobile_phone_use	Police issued	1
2023	ACT	Major Cities of Australia	0-16	mobile_phone_use	Police issued	2
2023	NSW	Inner Regional Australia	0-16	mobile_phone_use	Police issued	1
2023	NSW	Major Cities of Australia	0-16	mobile_phone_use	Police issued	1
2023	ACT	Major Cities of Australia	0-16	mobile_phone_use	Police issued	3
2023	NSW	Inner Regional Australia	0-16	mobile_phone_use	Police issued	2
2023	NSW	Outer Regional Australia	0-16	mobile_phone_use	Police issued	0
2023	ACT	Major Cities of Australia	0-16	mobile_phone_use	Police issued	2
2023	VIC	Major Cities of Australia	0-16	mobile_phone_use	Police issued	1
2023	NSW	Inner Regional Australia	0-16	mobile_phone_use	Police issued	2
2023	NSW	Major Cities of Australia	0-16	mobile_phone_use	Police issued	1
2023	NSW	Inner Regional Australia	0-16	mobile_phone_use	Police issued	1
2023	NSW	Major Cities of Australia	0-16	mobile_phone_use	Police issued	1
2023	ACT	Major Cities of Australia	0-16	mobile_phone_use	Police issued	1
2023	NSW	Major Cities of Australia	0-16	mobile_phone_use	Police issued	1
2023	ACT	Major Cities of Australia	0-16	mobile_phone_use	Police issued	1
2023	NSW	Inner Regional Australia	0-16	mobile_phone_use	Police issued	3
2023	NSW	Major Cities of Australia	0-16	mobile_phone_use	Police issued	1
2023	NSW	Inner Regional Australia	0-16	mobile_phone_use	Police issued	2
2023	NSW	Major Cities of Australia	0-16	mobile_phone_use	Police issued	2
2023	VIC	Major Cities of Australia	0-16	mobile_phone_use	Police issued	1
2023	ACT	Major Cities of Australia	17-25	mobile_phone_use	Police issued	8
2023	NSW	Inner Regional Australia	17-25	mobile_phone_use	Police issued	55
