YEAR,JURISDICTION,AGE_GROUP,METRIC,DETECTION_METHOD,FINES
2008,ACT,All ages,mobile_phone_use,Police issued,2060
2008,NSW,All ages,mobile_phone_use,Police issued,40882
2008,NT,All ages,mobile_phone_use,Police issued,671
2008,QLD,All ages,mobile_phone_use,Police issued,28499
2008,SA,All ages,mobile_phone_use,Police issued,11411
2008,TAS,All ages,mobile_phone_use,Police issued,6780
2008,VIC,All ages,mobile_phone_use,Police issued,49739
2008,WA,All ages,mobile_phone_use,Police issued,15957
2009,ACT,All ages,mobile_phone_use,Police issued,1890
2009,NSW,All ages,mobile_phone_use,Police issued,41167
2009,NT,All ages,mobile_phone_use,Police issued,1106
2009,QLD,All ages,mobile_phone_use,Police issued,33352
2009,SA,All ages,mobile_phone_use,Police issued,14167
2009,TAS,All ages,mobile_phone_use,Police issued,5665
2009,VIC,All ages,mobile_phone_use,Police issued,53101
2009,WA,All ages,mobile_phone_use,Police issued,14804
2010,ACT,All ages,mobile_phone_use,Police issued,2407
2010,NSW,All ages,mobile_phone_use,Police issued,51104
2010,NT,All ages,mobile_phone_use,Police issued,998
2010,QLD,All ages,mobile_phone_use,Police issued,33013
2010,SA,All ages,mobile_phone_use,Police issued,14139
2010,TAS,All ages,mobile_phone_use,Police issued,3735
2010,VIC,All ages,mobile_phone_use,Police issued,54728
2010,WA,All ages,mobile_phone_use,Police issued,11705
2011,ACT,All ages,mobile_phone_use,Police issued,2284
2011,NSW,All ages,mobile_phone_use,Police issued,46714
2011,NT,All ages,mobile_phone_use,Police issued,729
2011,QLD,All ages,mobile_phone_use,Police issued,30389
2011,SA,All ages,mobile_phone_use,Police issued,13402
2011,TAS,All ages,mobile_phone_use,Police issued,3241
2011,VIC,All ages,mobile_phone_use,Police issued,52630
2011,WA,All ages,mobile_phone_use,Police issued,10485
2012,ACT,All ages,mobile_phone_use,Police issued,1722
2012,NSW,All ages,mobile_phone_use,Police issued,42900
2012,NT,All ages,mobile_phone_use,Police issued,722
2012,QLD,All ages,mobile_phone_use,Police issued,28548
2012,SA,All ages,mobile_phone_use,Police issued,11623
2012,TAS,All ages,mobile_phone_use,Police issued,2141
2012,VIC,All ages,mobile_phone_use,Police issued,61497
2012,WA,All ages,mobile_phone_use,Police issued,17822
2013,ACT,All ages,mobile_phone_use,Police issued,1356
2013,NSW,All ages,mobile_phone_use,Police issued,33514
2013,NT,All ages,mobile_phone_use,Police issued,1058
2013,QLD,All ages,mobile_phone_use,Police issued,27998
2013,SA,All ages,mobile_phone_use,Police issued,12560
2013,TAS,All ages,mobile_phone_use,Police issued,2914
2013,VIC,All ages,mobile_phone_use,Police issued,52452
2013,WA,All ages,mobile_phone_use,Police issued,14563
2014,ACT,All ages,mobile_phone_use,Police issued,1115
2014,NSW,All ages,mobile_phone_use,Police issued,34952
2014,NT,All ages,mobile_phone_use,Police issued,517
2014,QLD,All ages,mobile_phone_use,Police issued,25068
2014,SA,All ages,mobile_phone_use,Police issued,11886
2014,TAS,All ages,mobile_phone_use,Police issued,3256
2014,VIC,All ages,mobile_phone_use,Police issued,41448
2014,WA,All ages,mobile_phone_use,Police issued,14377
2015,ACT,All ages,mobile_phone_use,Police issued,873
2015,NSW,All ages,mobile_phone_use,Police issued,37989
2015,NT,All ages,mobile_phone_use,Police issued,492
2015,QLD,All ages,mobile_phone_use,Police issued,23048
2015,SA,All ages,mobile_phone_use,Police issued,12446
2015,TAS,All ages,mobile_phone_use,Police issued,3273
2015,VIC,All ages,mobile_phone_use,Police issued,33598
2015,WA,All ages,mobile_phone_use,Police issued,16666
2016,ACT,All ages,mobile_phone_use,Police issued,1120
2016,NSW,All ages,mobile_phone_use,Police issued,38918
2016,NT,All ages,mobile_phone_use,Police issued,535
2016,QLD,All ages,mobile_phone_use,Police issued,17213
2016,SA,All ages,mobile_phone_use,Police issued,11153
2016,TAS,All ages,mobile_phone_use,Police issued,3191
2016,VIC,All ages,mobile_phone_use,Police issued,27925
2016,WA,All ages,mobile_phone_use,Police issued,14926
2017,ACT,All ages,mobile_phone_use,Police issued,1299
2017,NSW,All ages,mobile_phone_use,Police issued,41020
2017,NT,All ages,mobile_phone_use,Police issued,546
2017,QLD,All ages,mobile_phone_use,Police issued,15043
2017,SA,All ages,mobile_phone_use,Police issued,11252
2017,TAS,All ages,mobile_phone_use,Police issued,2738
2017,VIC,All ages,mobile_phone_use,Police issued,29293
2017,WA,All ages,mobile_phone_use,Police issued,16718
2018,ACT,All ages,mobile_phone_use,Police issued,1399
2018,NSW,All ages,mobile_phone_use,Police issued,37653
2018,NT,All ages,mobile_phone_use,Police issued,861
2018,QLD,All ages,mobile_phone_use,Police issued,12828
2018,SA,All ages,mobile_phone_use,Police issued,8471
2018,TAS,All ages,mobile_phone_use,Police issued,2614
2018,VIC,All ages,mobile_phone_use,Police issued,32458
2018,WA,All ages,mobile_phone_use,Police issued,17697
2019,ACT,All ages,mobile_phone_use,Police issued,1098
2019,NSW,All ages,mobile_phone_use,Police issued,25463
2019,NT,All ages,mobile_phone_use,Police issued,760
2019,QLD,All ages,mobile_phone_use,Police issued,11580
2019,SA,All ages,mobile_phone_use,Police issued,7567
2019,TAS,All ages,mobile_phone_use,Police issued,2355
2019,VIC,All ages,mobile_phone_use,Police issued,36694
2019,WA,All ages,mobile_phone_use,Police issued,11850
2020,ACT,All ages,mobile_phone_use,Police issued,812
2020,NSW,All ages,mobile_phone_use,Police issued,12878
2020,NSW,All ages,mobile_phone_use,Fixed or mobile camera,138847
2020,NT,All ages,mobile_phone_use,Police issued,380
2020,QLD,All ages,mobile_phone_use,Police issued,4823
2020,SA,All ages,mobile_phone_use,Police issued,6325
2020,TAS,All ages,mobile_phone_use,Police issued,1966
2020,VIC,All ages,mobile_phone_use,Police issued,21231
2020,WA,All ages,mobile_phone_use,Police issued,7889
2021,ACT,All ages,mobile_phone_use,Police issued,544
2021,NSW,All ages,mobile_phone_use,Police issued,10360
2021,NSW,All ages,mobile_phone_use,Fixed or mobile camera,163722
2021,NT,All ages,mobile_phone_use,Police issued,309
2021,QLD,All ages,mobile_phone_use,Police issued,3973
2021,QLD,All ages,mobile_phone_use,Fixed or mobile camera,14574
