YEAR,JURISDICTION,LOCATION,AGE_GROUP,METRIC,DETECTION_METHOD,FINES
2023,ACT,Major Cities of Australia,0-16,unlicensed_driving,Police issued,1
2023,ACT,Major Cities of Australia,17-25,unlicensed_driving,Police issued,6
2023,ACT,Major Cities of Australia,26-39,unlicensed_driving,Police issued,15
2023,ACT,Major Cities of Australia,40-64,unlicensed_driving,Police issued,3
2023,NSW,Inner Regional Australia,0-16,unlicensed_driving,Police issued,1
2023,NSW,Inner Regional Australia,17-25,unlicensed_driving,Police issued,57
2023,NSW,Inner Regional Australia,26-39,unlicensed_driving,Police issued,106
2023,NSW,Inner Regional Australia,40-64,unlicensed_driving,Police issued,64
2023,NSW,Inner Regional Australia,65 and over,unlicensed_driving,Police issued,9
2023,NSW,Major Cities of Australia,0-16,unlicensed_driving,Police issued,1
2023,NSW,Major Cities of Australia,17-25,unlicensed_driving,Police issued,124
2023,NSW,Major Cities of Australia,26-39,unlicensed_driving,Police issued,212
2023,NSW,Major Cities of Australia,40-64,unlicensed_driving,Police issued,132
2023,NSW,Major Cities of Australia,65 and over,unlicensed_driving,Police issued,10
2023,NSW,Outer Regional Australia,17-25,unlicensed_driving,Police issued,15
2023,NSW,Outer Regional Australia,26-39,unlicensed_driving,Police issued,34
2023,NSW,Outer Regional Australia,40-64,unlicensed_driving,Police issued,10
2023,NSW,Outer Regional Australia,65 and over,unlicensed_driving,Police issued,4
2023,NSW,Remote Australia,17-25,unlicensed_driving,Police issued,1
2023,NSW,Remote Australia,40-64,unlicensed_driving,Police issued,1
2023,NSW,Very Remote Australia,26-39,unlicensed_driving,Police issued,1
2023,NSW,Very Remote Australia,40-64,unlicensed_driving,Police issued,1
2023,VIC,Inner Regional Australia,0-16,unlicensed_driving,Police issued,4
2023,VIC,Inner Regional Australia,17-25,unlicensed_driving,Police issued,29
2023,VIC,Inner Regional Australia,26-39,unlicensed_driving,Police issued,100
2023,VIC,Inner Regional Australia,40-64,unlicensed_driving,Police issued,67
2023,VIC,Inner Regional Australia,65 and over,unlicensed_driving,Police issued,7
2023,VIC,Major Cities of Australia,0-16,unlicensed_driving,Police issued,1
2023,VIC,Major Cities of Australia,17-25,unlicensed_driving,Police issued,135
2023,VIC,Major Cities of Australia,26-39,unlicensed_driving,Police issued,302
2023,VIC,Major Cities of Australia,40-64,unlicensed_driving,Police issued,152
2023,VIC,Major Cities of Australia,65 and over,unlicensed_driving,Police issued,9
2023,VIC,Outer Regional Australia,17-25,unlicensed_driving,Police issued,10
2023,VIC,Outer Regional Australia,26-39,unlicensed_driving,Police issued,30
2023,VIC,Outer Regional Australia,40-64,unlicensed_driving,Police issued,14
2023,VIC,Outer Regional Australia,65 and over,unlicensed_driving,Police issued,2
2023,VIC,Remote Australia,26-39,unlicensed_driving,Police issued,2
2023,ACT,Major Cities of Australia,17-25,unlicensed_driving,Police issued,4
2023,ACT,Major Cities of Australia,26-39,unlicensed_driving,Police issued,7
2023,ACT,Major Cities of Australia,40-64,unlicensed_driving,Police issued,2
2023,NSW,Inner Regional Australia,0-16,unlicensed_driving,Police issued,1
2023,NSW,Inner Regional Australia,17-25,unlicensed_driving,Police issued,27
2023,NSW,Inner Regional Australia,26-39,unlicensed_driving,Police issued,70
2023,NSW,Inner Regional Australia,40-64,unlicensed_driving,Police issued,48
2023,NSW,Inner Regional Australia,65 and over,unlicensed_driving,Police issued,1
