"﻿YEAR","JURISDICTION","AGE_GROUP","METRIC","BEST_DETECTION_METHOD","DETECTION_METHOD","AMPHETAMINE","CANNABIS","COCAINE","ECSTASY","METHYLAMPHETAMINE","OTHER","UNKNOWN","NO_DRUGS_DETECTED","COUNT","FINES","ARRESTS","CHARGES"
2008,"NSW","All ages","positive_drug_tests","Yes","Indicator (Stage 1)","No","No","No","No","No","No","Yes","No",542,,,
2008,"QLD","All ages","positive_drug_tests","Yes","Indicator (Stage 1)","No","No","No","No","No","No","Yes","No",216,,,
2008,"SA","All ages","positive_drug_tests","Yes","Indicator (Stage 1)","No","No","No","No","No","No","Yes","No",600,,,
2008,"TAS","All ages","positive_drug_tests","Yes","Indicator (Stage 1)","No","No","No","No","No","No","Yes","No",211,,,
2008,"VIC","All ages","positive_drug_tests","Yes","Indicator (Stage 1)","No","No","No","No","No","No","Yes","No",438,,,
2008,"WA","All ages","positive_drug_tests","Yes","Indicator (Stage 1)","No","No","No","No","No","No","Yes","No",406,,,
2009,"NSW","All ages","positive_drug_tests","Yes","Indicator (Stage 1)","No","No","No","No","No","No","Yes","No",613,,,
2009,"QLD","All ages","positive_drug_tests","Yes","Indicator (Stage 1)","No","No","No","No","No","No","Yes","No",254,,,
2009,"SA","All ages","positive_drug_tests","Yes","Indicator (Stage 1)","No","No","No","No","No","No","Yes","No",1179,,,
2009,"TAS","All ages","positive_drug_tests","Yes","Indicator (Stage 1)","No","No","No","No","No","No","Yes","No",252,,,
2009,"VIC","All ages","positive_drug_tests","Yes","Indicator (Stage 1)","No","No","No","No","No","No","Yes","No",323,,,
2009,"WA","All ages","positive_drug_tests","Yes","Indicator (Stage 1)","No","No","No","No","No","No","Yes","No",289,,,
2010,"NSW","All ages","positive_drug_tests","Yes","Indicator (Stage 1)","No","No","No","No","No","No","Yes","No",735,,,
2010,"QLD","All ages","positive_drug_tests","Yes","Indicator (Stage 1)","No","No","No","No","No","No","Yes","No",440,,,
2010,"SA","All ages","positive_drug_tests","Yes","Indicator (Stage 1)","No","No","No","No","No","No","Yes","No",1699,,,
2010,"VIC","All ages","positive_drug_tests","Yes","Indicator (Stage 1)","No","No","No","No","No","No","Yes","No",741,,,
2010,"WA","All ages","positive_drug_tests","Yes","Indicator (Stage 1)","No","No","No","No","No","No","Yes","No",418,,,
2011,"NSW","All ages","positive_drug_tests","Yes","Indicator (Stage 1)","No","No","No","No","No","No","Yes","No",666,,,
2011,"QLD","All ages","positive_drug_tests","Yes","Indicator (Stage 1)","No","No","No","No","No","No","Yes","No",825,,,
2011,"SA","All ages","positive_drug_tests","Yes","Indicator (Stage 1)","No","No","No","No","No","No","Yes","No",2320,,,
2011,"TAS","All ages","positive_drug_tests","Yes","Indicator (Stage 1)","No","No","No","No","No","No","Yes","No",573,,,
2011,"VIC","All ages","positive_drug_tests","Yes","Indicator (Stage 1)","No","No","No","No","No","No","Yes","No",760,,,
2011,"WA","All ages","positive_drug_tests","Yes","Indicator (Stage 1)","No","No","No","No","No","No","Yes","No",460,,,
2012,"ACT","All ages","positive_drug_tests","Yes","Indicator (Stage 1)","No","No","No","No","No","No","Yes","No",37,,,
2012,"NSW","All ages","positive_drug_tests","Yes","Indicator (Stage 1)","No","No","No","No","No","No","Yes","No",705,,,
2012,"QLD","All ages","positive_drug_tests","Yes","Indicator (Stage 1)","No","No","No","No","No","No","Yes","No",937,,,
2012,"SA","All ages","positive_drug_tests","Yes","Indicator (Stage 1)","No","No","No","No","No","No","Yes","No",3237,,,
2012,"TAS","All ages","positive_drug_tests","Yes","Indicator (Stage 1)","No","No","No","No","No","No","Yes","No",523,,,
2012,"VIC","All ages","positive_drug_tests","Yes","Indicator (Stage 1)","No","No","No","No","No","No","Yes","No",2180,,,
2012,"WA","All ages","positive_drug_tests","Yes","Indicator (Stage 1)","No","No","No","No","No","No","Yes","No",623,,,
2013,"ACT","All ages","positive_drug_tests","Yes","Indicator (Stage 1)","No","No","No","No","No","No","Yes","No",116,,,
2013,"NSW","All ages","positive_drug_tests","Yes","Indicator (Stage 1)","No","No","No","No","No","No","Yes","No",898,,,
2013,"NT","All ages","positive_drug_tests","Yes","Indicator (Stage 1)","No","No","No","No","No","No","Yes","No",84,,,
2013,"QLD","All ages","positive_drug_tests","Yes","Indicator (Stage 1)","No","No","No","No","No","No","Yes","No",1300,,,
2013,"SA","All ages","positive_drug_tests","Yes","Indicator (Stage 1)","No","No","No","No","No","No","Yes","No",3737,,,
2013,"TAS","All ages","positive_drug_tests","Yes","Indicator (Stage 1)","No","No","No","No","No","No","Yes","No",639,,,
2013,"VIC","All ages","positive_drug_tests","Yes","Indicator (Stage 1)","No","No","No","No","No","No","Yes","No",2540,,,
2013,"WA","All ages","positive_drug_tests","Yes","Indicator (Stage 1)","No","No","No","No","No","No","Yes","No",539,,,
2014,"ACT","All ages","positive_drug_tests","Yes","Indicator (Stage 1)","No","No","No","No","No","No","Yes","No",392,,,
2014,"NSW","All ages","positive_drug_tests","Yes","Indicator (Stage 1)","No","No","No","No","No","No","Yes","No",2096,,,
2014,"NT","All ages","positive_drug_tests","Yes","Indicator (Stage 1)","No","No","No","No","No","No","Yes","No",90,,,
2014,"QLD","All ages","positive_drug_tests","Yes","Indicator (Stage 1)","No","No","No","No","No","No","Yes","No",2208,,,
2014,"SA","All ages","positive_drug_tests","Yes","Indicator (Stage 1)","No","No","No","No","No","No","Yes","No",4681,,,
2014,"TAS","All ages","positive_drug_tests","Yes","Indicator (Stage 1)","No","No","No","No","No","No","Yes","No",1969,,,
2014,"VIC","All ages","positive_drug_tests","Yes","Indicator (Stage 1)","No","No","No","No","No","No","Yes","No",3749,,,
2014,"WA","All ages","positive_drug_tests","Yes","Indicator (Stage 1)","No","No","No","No","No","No","Yes","No",1104,,,
2015,"ACT","All ages","positive_drug_tests","Yes","Indicator (Stage 1)","No","No","No","No","No","No","Yes","No",258,,,
2015,"NSW","All ages","positive_drug_tests","Yes","Indicator (Stage 1)","No","No","No","No","No","No","Yes","No",9123,,,
2015,"NT","All ages","positive_drug_tests","Yes","Indicator (Stage 1)","No","No","No","No","No","No","Yes","No",120,,,
2015,"QLD","All ages","positive_drug_tests","Yes","Indicator (Stage 1)","No","No","No","No","No","No","Yes","No",7446,,,
2015,"SA","All ages","positive_drug_tests","Yes","Indicator (Stage 1)","No","No","No","No","No","No","Yes","No",5239,,,
2015,"TAS","All ages","positive_drug_tests","Yes","Indicator (Stage 1)","No","No","No","No","No","No","Yes","No",2318,,,
